,tweet_id,tweet_text,verified,followers_count,friends_count,user_created_at,retweet_count
61,1344344554544140288,NEW: Canadian Government announces that anyone returning to Canada will require a negative #COVID19 PCR test taken three days before arriving in back in the country. Airlines will have to ensure people provide tests. Unclear when rules come into place. #cdnpoli,False,120,795,2020-12-30 18:08:13,39
62,1344344200213532673,How Canadian researchers are using genome sequencing to track coronavirus variants https://t.co/vRUGemE8WT #Canada #COVID19 #COVID_19 #COVIDCanada #COVID19Canada,False,1368,650,2020-12-30 18:06:48,0
63,1344344050770477057,"Or, here's another idea, CLOSE THE BORDERS.

We're in the middle of a pandemic. Open borders show how unserious the Trudeau government is about fighting #COVID19.

https://t.co/SVaoaouqsz",False,854,1556,2020-12-30 18:06:13,53
64,1344344043971600384,Arriving Air Passengers Must Show Negative Covid-19 Test https://t.co/PXwYiGlb0o #Canada #Covid19 https://t.co/8bmceQB1es,False,2401,433,2020-12-30 18:06:11,0
65,1344343946105917441,"ICYMI | Ontario plans to focus on vaccinating priority groups such as older adults and essential workers (teachers, police and farm workers, for example) between April and July.

Vaccines should be widely available starting in August. https://t.co/x2vShGOfOm #COVID19",False,1756,2226,2020-12-30 18:05:48,9
66,1344343751712497664,Arriving Air Passengers Must Show Negative Covid-19 Test https://t.co/AeiDeqxFmN #Covid19 #Canada https://t.co/JpwhSehFtA,False,3856,1921,2020-12-30 18:05:01,0
67,1344343571843919872,Our actions matter. Avoiding close contact with others in confined spaces can help #stopthespread of #COVID19. ❄️Learn more on how you can do your part this holiday season: https://t.co/o0PjjDqN5i https://t.co/IVrYiFuOM3,False,1175,1168,2020-12-30 18:04:18,4
68,1344343559869255680,"#COVID19 didn’t take a holiday, and the vaccine rollout should not have been allowed to either, by ⁦@picardonhealth⁩ via @globeandmail #vaccination  https://t.co/o0B47Rjmhc",False,24,176,2020-12-30 18:04:16,169
69,1344343497604792321,Arriving Air Passengers Must Show Negative Covid-19 Test https://t.co/B7RGyTYlIt #Covid19 #Canada https://t.co/tlxeyTaLI8,False,518,452,2020-12-30 18:04:01,0
70,1344343456605474817,"#NEW: Canada will ""quickly implement"" a requirement that all arriving passengers provide a negative #COVID19 PCR test taken within 72 hours before arrival in Canada.

This is in addition to the mandatory 14 day quarantine upon returning to Canada with increased monitoring.",False,5118,1219,2020-12-30 18:03:51,1
